time,bus,passenger
0,New343,1597
0,bus301,0
0,bus302,167
0,bus303,8
0,bus333,341
0,bus343,0
0,bus362,728
0,bus402,1587
0,bus452,1665
1,New343,178
1,bus301,0
1,bus302,0
1,bus303,0
1,bus333,0
1,bus343,0
1,bus362,0
1,bus402,76
1,bus452,12
2,New343,1
2,bus301,0
2,bus302,0
2,bus303,0
2,bus333,0
2,bus343,0
2,bus362,0
2,bus402,0
2,bus452,0
3,New343,0
3,bus301,0
3,bus302,0
3,bus303,0
3,bus333,0
3,bus343,0
3,bus362,0
3,bus402,0
3,bus452,0
4,New343,743
4,bus301,2798
4,bus302,253
4,bus303,379
4,bus333,866
4,bus343,33
4,bus362,911
4,bus402,1114
4,bus452,49
5,New343,3578
5,bus301,6531
5,bus302,1556
5,bus303,4086
5,bus333,3018
5,bus343,241
5,bus362,2781
5,bus402,2383
5,bus452,1314
6,New343,8323
6,bus301,7967
6,bus302,2709
6,bus303,5852
6,bus333,5148
6,bus343,766
6,bus362,4893
6,bus402,5680
6,bus452,2366
7,New343,17699
7,bus301,19110
7,bus302,6634
7,bus303,14965
7,bus333,10833
7,bus343,2272
7,bus362,13863
7,bus402,14739
7,bus452,5694
8,New343,22678
8,bus301,25317
8,bus302,9597
8,bus303,22274
8,bus333,13292
8,bus343,2664
8,bus362,15557
8,bus402,17003
8,bus452,6932
9,New343,15206
9,bus301,19117
9,bus302,6152
9,bus303,12882
9,bus333,9623
9,bus343,1407
9,bus362,9903
9,bus402,14148
9,bus452,5314
10,New343,10171
10,bus301,14354
10,bus302,3701
10,bus303,8657
10,bus333,6881
10,bus343,771
10,bus362,7231
10,bus402,11152
10,bus452,4742
11,New343,9330
11,bus301,14283
11,bus302,3815
11,bus303,7658
11,bus333,6176
11,bus343,685
11,bus362,7533
11,bus402,11366
11,bus452,5190
12,New343,10462
12,bus301,14913
12,bus302,3809
12,bus303,7372
12,bus333,7401
12,bus343,823
12,bus362,8971
12,bus402,12473
12,bus452,6107
13,New343,10989
13,bus301,15953
13,bus302,4088
13,bus303,7506
13,bus333,8056
13,bus343,803
13,bus362,9492
13,bus402,12768
13,bus452,6327
14,New343,12371
14,bus301,15386
14,bus302,3767
14,bus303,7587
14,bus333,8349
14,bus343,780
14,bus362,9544
14,bus402,12881
14,bus452,6566
15,New343,14906
15,bus301,16525
15,bus302,4531
15,bus303,9036
15,bus333,10107
15,bus343,884
15,bus362,10129
15,bus402,13547
15,bus452,7834
16,New343,17701
16,bus301,18059
16,bus302,5567
16,bus303,12247
16,bus333,11174
16,bus343,947
16,bus362,11420
16,bus402,15516
16,bus452,8390
17,New343,19894
17,bus301,19469
17,bus302,7051
17,bus303,15360
17,bus333,12102
17,bus343,992
17,bus362,12394
17,bus402,17266
17,bus452,10024
18,New343,22133
18,bus301,23042
18,bus302,9798
18,bus303,19512
18,bus333,11279
18,bus343,1060
18,bus362,13149
18,bus402,20572
18,bus452,13053
19,New343,15817
19,bus301,16568
19,bus302,5831
19,bus303,12336
19,bus333,7999
19,bus343,738
19,bus362,7703
19,bus402,13844
19,bus452,8165
20,New343,11442
20,bus301,12917
20,bus302,4132
20,bus303,11482
20,bus333,5653
20,bus343,434
20,bus362,5814
20,bus402,9253
20,bus452,5903
21,New343,12018
21,bus301,12794
21,bus302,4155
21,bus303,10774
21,bus333,7283
21,bus343,506
21,bus362,6667
21,bus402,8756
21,bus452,6548
22,New343,13523
22,bus301,12243
22,bus302,4679
22,bus303,10352
22,bus333,9419
22,bus343,483
22,bus362,7554
22,bus402,9205
22,bus452,7153
23,New343,6143
23,bus301,1893
23,bus302,2405
23,bus303,2921
23,bus333,3098
23,bus343,171
23,bus362,4067
23,bus402,2912
23,bus452,2912
