bus,term,passenger
New1,7,662127
New406,9,572059
New343,13,256404
100,10,446729
101,8,456114
102,11,339532
103,9,324650
104,7,266534
105,12,280664
106,12,295944
107,10,397729
108,16,324307
109,9,217859
120,6,577299
121,7,351233
130,7,803258
140,7,589319
141,11,488600
142,9,611254
143,7,934812
144,7,569610
145,9,511034
146,8,719649
147,6,698340
148,9,482044
150,8,699421
151,7,463065
152,7,886647
153,7,809802
160,8,879506
162,6,427875
171,8,404649
172,10,352419
173,11,293327
201,16,258843
202,8,595166
240,11,296543
241,10,414593
242,14,235634
260,12,465952
261,8,544926
262,9,598556
270,10,429930
271,7,104421
272,6,781023
273,8,553034
301,8,560306
302,15,359676
303,8,757356
320,9,391702
333,11,317847
340,7,685061
341,13,304056
342,10,306454
343,15,46585
350,12,324642
360,6,677599
362,12,381792
370,6,691670
400,12,376208
401,11,281136
402,9,467148
405,15,204565
406,13,175620
420,9,590834
421,10,632465
440,10,348916
441,10,393660
452,11,465543
461,11,536143
463,10,453880
470,10,442713
472,7,483364
500,9,435734
501,7,283710
502,15,298247
503,14,146179
504,7,509222
505,10,380949
506,11,376020
507,9,339034
540,12,365384
541,12,250182
542,20,145336
571,11,429169
600,8,476945
601,9,380563
602,9,415407
603,10,302241
604,13,301711
605,8,373270
606,18,296256
640,10,289508
641,6,598961
643,10,556062
650,9,329869
651,11,387090
652,13,471248
653,19,124864
654,13,332104
660,15,176342
661,20,221748
662,15,154165
672,15,130519
673,18,207161
674,15,110009
700,11,281378
701,11,214794
704,12,273288
705,18,168507
707,14,174480
708,12,192957
710,9,242293
720,9,644450
721,8,540257
740,12,378191
741,10,466093
742,17,50517
752,9,512770
753,12,376717
761,13,348396
771,22,118156
773,17,224846
774,18,192575
702A,6,459679
702B,11,226256
750A,10,238224
750B,6,215682
